gameId,text,,sender,timeStamp
ph3ioW8N3pygRMj9p,Hello?,,cztgoHiBe8JQX3JSy,2022-07-13T16:03:06.914Z
ph3ioW8N3pygRMj9p,Hello!,,2ftGNWdutE2HFZuwZ,2022-07-13T16:03:07.651Z
E3uDutq97qNoGDWrZ,What do yall think?,,qzwexWysRnPxvF8Qn,2022-07-13T16:03:08.219Z
E3uDutq97qNoGDWrZ,Yo everyone! Happy Wednesday,,4dm4Ccv8r48cwJPBA,2022-07-13T16:03:09.350Z
ph3ioW8N3pygRMj9p,hi,,5dPCuQov6Ltdq9kpg,2022-07-13T16:03:10.085Z
ph3ioW8N3pygRMj9p,Hey,,cztgoHiBe8JQX3JSy,2022-07-13T16:03:10.159Z
22QWofqrmD3gdeGXM,Hello,,bW4z29APem2MMneW9,2022-07-13T16:03:10.407Z
ph3ioW8N3pygRMj9p,Hey yáll,,LCDmSJ7PGi9kb5p8k,2022-07-13T16:03:10.495Z
ph3ioW8N3pygRMj9p,Hello,,ZJuMv3sDjPKPoKkdf,2022-07-13T16:03:10.683Z
E3uDutq97qNoGDWrZ,hello,,WW9ZTXTcq6bDfr579,2022-07-13T16:03:10.700Z
ph3ioW8N3pygRMj9p,Hi!,,2YQs2Mt9T24FJqa5g,2022-07-13T16:03:10.841Z
ph3ioW8N3pygRMj9p,Hello!,,ksywiyouaMd5Qb9YD,2022-07-13T16:03:10.864Z
ph3ioW8N3pygRMj9p,Hello,,weZ9J8XXW3Q7jZYyo,2022-07-13T16:03:11.347Z
ph3ioW8N3pygRMj9p,", Claude Monet's luminescent 1908 view of Le Grand Canal et Santa Maria della Salute sold for $56.6 million",,MMs3W8JR7cwiuhh3t,2022-07-13T16:03:11.458Z
22QWofqrmD3gdeGXM,whats everyones thoughts,,hK6mbQEWnXuiQSqcP,2022-07-13T16:03:11.633Z
22QWofqrmD3gdeGXM,Dont know that the size necessarily matters,,wYoaN3pbSSXJd2wRw,2022-07-13T16:03:11.641Z
E3uDutq97qNoGDWrZ,hey,,Ep5GqhMG8SCsDA5Tq,2022-07-13T16:03:12.728Z
22QWofqrmD3gdeGXM,Hello,,N539CF9BC4Bfx4aKr,2022-07-13T16:03:12.875Z
ph3ioW8N3pygRMj9p,hi,,BP9Rs34eDiD8QL2zG,2022-07-13T16:03:13.000Z
ph3ioW8N3pygRMj9p,hello,,ipXSo3oDq58bDHb8a,2022-07-13T16:03:13.356Z
BrEnxG6Cqa9RiYXZ7,i went with 15,,JpbLKnC78MhXfEurJ,2022-07-13T16:03:13.563Z
22QWofqrmD3gdeGXM,hi,,9egfkWHs2zZw3vKyM,2022-07-13T16:03:13.642Z
ph3ioW8N3pygRMj9p,Hey,,Kje74MZtuRNtny5n6,2022-07-13T16:03:13.714Z
E3uDutq97qNoGDWrZ,hello,,KKeuqMoxck6g6zgY9,2022-07-13T16:03:13.989Z
ph3ioW8N3pygRMj9p,"hi,",,7saxtJRk2ieLoZyFi,2022-07-13T16:03:14.333Z
E3uDutq97qNoGDWrZ,Howdy,,9jQzncBABh34tWnon,2022-07-13T16:03:14.365Z
ph3ioW8N3pygRMj9p,hi,,7pb9LbYvfGvxebrZH,2022-07-13T16:03:14.386Z
ph3ioW8N3pygRMj9p,hello,,Y45gJuSvotCM3m6KP,2022-07-13T16:03:14.395Z
E3uDutq97qNoGDWrZ,hello.,,XktDXttEboN76fEkm,2022-07-13T16:03:14.581Z
E3uDutq97qNoGDWrZ,HI!!,,LqywYeWextgR8rqL6,2022-07-13T16:03:14.662Z
ph3ioW8N3pygRMj9p,hi,,KXAXtqdPQBBZxxBrs,2022-07-13T16:03:14.764Z
22QWofqrmD3gdeGXM,hi,,pbt8LpKyeDk8khi3n,2022-07-13T16:03:14.778Z
ph3ioW8N3pygRMj9p,Hello,,3XXoBd8atkknc2rEd,2022-07-13T16:03:15.024Z
E3uDutq97qNoGDWrZ,hello,,4kM8PCmbFWcpLJNQi,2022-07-13T16:03:15.080Z
ph3ioW8N3pygRMj9p,Yo,,enxhFezGKjhX2p5fD,2022-07-13T16:03:15.372Z
22QWofqrmD3gdeGXM,Hello,,X4PHEtjBc8ekbndkR,2022-07-13T16:03:15.379Z
22QWofqrmD3gdeGXM,Hi,,urbu3h4Yoey5w7WFP,2022-07-13T16:03:15.438Z
