"playerId","pre_influence","post_influence","trial","group_pair","truth","task","soc_info","analysis","dataset","communication"
"N9P7JGzTojiGZY65a",10,12,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"etv3xnkiN5AR5BKkv",7,12,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"7We6s84tsH8s2MDoo",12,50,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"AtBxNm63Stasr9quy",15,18,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"RD4QrgcNMYeiYA5oY",10,10,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"Wda8AcJp7YMDH5e6D",15,21,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"RpKYk7WzbsQo2eewK",11,14.2,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"k6vYrmoBJ3ygpityL",15,40,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"JpbLKnC78MhXfEurJ",15,35,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"FxrpbiFJ7dXAaFPnZ",10,12,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"i2NysEKrYctGW4W9y",10,25,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"9h79v7NT3XCN5dHg5",12,45,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"jL4ZYX4dJ8AsAWTXs",14,56,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"7X5pWK5twJZdxHzrA",10,27,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"FLWF3oQkv5uerc4t8",10,70,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"S3M2Q8M9rLvnwNauz",10,10,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"NsM3wKSHfkq6n7vsv",14,73,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"a6CCGp9t6A7oKWF68",12,42,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"Fc7fBx9fnt259GeR2",13,22,"BrEnxG6Cqa9RiYXZ7_2","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",12.4,"replication2","replication2","Discussion"
"Zdvr7FzJ2E3RC6jdj",6,12,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"FwxRbD7JBhxSwTx7e",7,9,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"Ae4PPX5SmcNCzzBJB",8,10,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"d72KDN32WgJd5A7Ss",10,10,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"ibqzYmm7arowg3xXq",8,10,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"9TDpReppyR6YAnjQt",12,12,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
"ye4aTLkRfrDXXzPH6",11,10,"BrEnxG6Cqa9RiYXZ7_1","BrEnxG6Cqa9RiYXZ7",75.96,"This painting by Cla",9.36842105263158,"replication2","replication2","Discussion"
